Year,Month,Avoid_going_to_public_places,Avoid_going_to_work 
2020,February,56,12
2020,March,71.5,16.5
2020,April,84.2,47
2020,May,85,53
2020,June,82,47
2020,July,80,33
2020,August,75.66666667,29
2020,September,71,24.5
2020,October,70,25.5
2020,November,71,23.5
2020,December,70,21.5
2021,January,70.66666667,22
2021,February,68.5,21
2021,March,68,22.5
2021,April,65.5,18.5
2021,May,75.5,30.5
2021,June,83,40.5
2021,July,76.33333333,31.33333333
2021,August,76,33
