Year,Date,Avoid_going_to_public_places,Avoid_going_to_work
2020,Feb-20,56,12
2020,Mar-20,71.5,16.5
2020,Apr-20,84.2,47
2020,May-20,85,53
2020,Jun-20,82,47
2020,Jul-20,80,33
2020,Aug-20,75.66666667,29
2020,Sep-20,71,24.5
2020,Oct-20,70,25.5
2020,Nov-20,71,23.5
2020,Dec-20,70,21.5
2021,Jan-21,70.66666667,22
2021,Feb-21,68.5,21
2021,Mar-21,68,22.5
2021,Apr-21,65.5,18.5
2021,May-21,75.5,30.5
2021,Jun-21,83,40.5
2021,Jul-21,76.33333333,31.33333333
2021,Aug-21,76,33
